batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
5.585618,6.164808,6.174545,5.711984,6.38385,5.996922,6.182022,6.424996
5.622096,6.145013,6.171932,5.687474,6.432206,5.953105,6.076408,6.476358
5.612761,6.124642,6.096291,5.677998,6.395518,5.942649,6.216876,6.438676
5.570581,6.148609,6.128155,5.694573,6.345331,5.984188,6.238208,6.382129
5.57727,6.104257,6.257089,5.641414,6.37344,6.001342,6.132441,6.419756
5.558456,6.091354,6.138683,5.644464,6.360381,5.954015,6.272848,6.403538
5.632014,6.114674,6.092059,5.667441,6.400496,5.999691,6.238568,6.441052
5.578791,6.127099,6.110532,5.692086,6.374454,5.937619,6.144348,6.416897
5.569216,6.101034,6.210216,5.640094,6.352135,5.841908,5.984145,6.39293
5.5574,6.109636,6.091355,5.652408,6.348923,5.916097,6.232518,6.393823
5.506135,6.052879,6.056933,5.586022,6.338296,5.832656,6.094417,6.364344
5.642964,6.07227,6.034412,5.619278,6.448846,5.915204,6.036577,6.48082
5.558913,6.071759,6.00361,5.625139,6.338517,5.854415,6.233957,6.37339
5.553476,6.057352,6.04157,5.598562,6.3316,5.913389,6.011551,6.374358
5.520959,6.081941,6.030277,5.62249,6.315646,5.819763,6.054252,6.352043
5.573975,6.061612,6.01247,5.625575,6.380088,5.878982,6.193543,6.4268
5.511857,6.057621,5.915097,5.588505,6.292994,5.862813,6.092086,6.333454
5.506268,6.048514,6.044772,5.602007,6.305439,5.785522,6.12911,6.339603
5.547875,6.005108,5.990286,5.546698,6.36195,5.882639,5.960158,6.394302
5.50963,6.028337,5.935983,5.576379,6.313325,5.841213,6.155825,6.353809
5.512604,6.035207,5.867272,5.590894,6.356342,5.79977,5.892647,6.392656
5.494479,5.961804,5.939166,5.513363,6.318429,5.782562,5.991513,6.361847
5.522527,6.01756,6.06831,5.549119,6.322628,5.85629,6.100665,6.370918
5.462829,6.027371,6.054744,5.563637,6.313123,5.732132,6.258171,6.36842
5.434567,5.974015,5.991243,5.50991,6.268689,5.829928,6.015573,6.31165
5.527573,5.986404,6.031934,5.533222,6.298902,5.762071,6.065024,6.337174
5.495845,5.976053,5.941689,5.540923,6.343784,5.769501,6.191412,6.390798
5.517623,5.991076,5.848942,5.528324,6.314192,5.812064,6.067011,6.354355
5.45196,5.961749,6.00071,5.500763,6.259174,5.719007,6.154702,6.297812
5.451239,5.962276,5.973382,5.512251,6.286067,5.773227,6.051655,6.324417
5.430741,5.952991,5.999859,5.492214,6.240214,5.814112,5.966729,6.288237
5.412245,5.942255,5.949405,5.47018,6.247592,5.846275,5.82548,6.29524
5.422977,5.955029,5.970351,5.482878,6.226876,5.762142,5.985218,6.268126
5.378971,5.925205,5.962094,5.460951,6.230316,5.731889,5.856239,6.271603
5.314289,5.948961,5.919969,5.479104,6.175276,5.65009,6.115778,6.217101
5.491388,5.970439,5.93365,5.53987,6.286454,5.636785,6.03667,6.332229
